player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,finishing,link_play,box_presence,press_leadership,composite_score,has_primary_season,is_manual_add,nationality
591734,Dominic Solanke,8586,Tottenham Hotspur,ENG-Premier League,0.4,10.3,6.0,0.0,0.9,1.2,0.05,0.45,1.5,3.0,0.37,0.0,1.1,0.4,0.6,6.65,0.0,14.0,2.4,0.7,0.7,2206,27,Attacker,0.3181818181818181,0.0,0.0388349514563106,0.4666666666666666,0.4583333333333333,0.1875,77.67182130584192,22.29381443298969,73.45360824742268,35.53264604810997,47.9461716337466,False,False,England
640492,Rafa Mir,10268,Elche,ESP-La Liga,0.7,18.3,1.0,0.0,1.0,0.9,0.06,0.38,2.1,0.0,0.41,0.3,1.6,0.1,0.7,6.81,0.0,6.0,3.4,0.6,0.3,1319,19,Attacker,0.3,0.3333333333333333,0.0382513661202185,0.1428571428571428,0.4705882352941177,0.1117647058823529,64.41532258064515,24.747983870967744,70.14112903225806,43.56854838709677,47.90816294658983,True,False,Spain
440330,Alexander Sørloth,9906,Atlético de Madrid,ESP-La Liga,0.1,13.5,1.0,0.0,1.0,0.7,0.05,0.41,1.6,0.0,0.52,0.0,1.7,0.1,0.2,6.7,0.0,8.0,2.9,0.6,0.6,1223,23,Attacker,0.2727272727272727,0.0,0.0074074074074074,0.3749999999999999,0.5862068965517241,0.1413793103448276,84.90542899900232,23.651526068802426,83.85955917673577,23.43792724383845,47.53542863108304,True,False,Norway
639671,Patrick Cutrone,10171,Como,ITA-Serie A,0.2,14.5,5.0,0.0,0.2,2.1,0.09,0.31,1.0,4.0,0.31,0.2,1.1,0.0,0.9,6.64,0.0,19.0,3.1,0.7,0.4,2053,33,Attacker,0.4736842105263157,0.2222222222222222,0.0137931034482758,0.4,0.3548387096774194,0.0999999999999999,46.8041237113402,31.701030927835053,58.90034364261169,61.00515463917525,47.41943178750103,False,False,Italy
1320949,Emersonn,9941,Toulouse,FRA-Ligue 1,0.3,10.4,0.0,0.0,1.0,0.4,0.04,0.44,2.7,2.0,0.27,0.4,1.0,0.0,0.9,6.64,0.0,11.0,3.2,1.4,0.6,1008,16,Attacker,0.3999999999999999,0.2222222222222222,0.0288461538461538,0.2222222222222222,0.3125,0.1374999999999999,56.20967741935484,20.161290322580648,69.11290322580645,66.07862903225806,47.31239115479021,True,False,Brazil
556524,Lucas Höler,8358,Sport-Club Freiburg,GER-Bundesliga,0.2,17.9,1.0,0.0,1.5,1.5,0.1,0.18,1.2,1.0,0.07,0.5,0.7,0.1,0.3,6.74,0.0,17.0,1.4,0.9,0.4,1355,21,Attacker,0.5384615384615385,0.3571428571428571,0.0111731843575419,0.3333333333333333,0.5,0.1285714285714286,53.114122602815655,43.07668680486273,43.77457229427632,49.2024627720504,47.296218943608174,True,False,Germany
883080,Morgan Rogers,10252,Aston Villa,ENG-Premier League,1.0,21.1,10.0,0.0,0.9,2.9,0.11,0.19,1.3,5.0,0.31,0.4,0.9,0.0,0.6,7.07,0.0,33.0,2.2,1.1,1.1,2320,26,Attacker,0.5357142857142857,0.2666666666666666,0.0473933649289099,0.8461538461538461,0.409090909090909,0.0863636363636363,39.07890847282267,70.50724236041829,35.88210841370137,53.93634759634926,47.28647658561689,True,False,England
1113903,Liam Delap,9902,Ipswich Town,ENG-Premier League,0.2,7.4,3.0,0.0,1.0,1.4,0.05,0.32,2.5,2.0,0.41,0.1,1.1,0.0,0.6,6.73,0.0,21.0,2.3,0.4,1.4,2612,37,Attacker,0.1666666666666666,0.2,0.027027027027027,0.5599999999999999,0.4782608695652174,0.1391304347826087,68.16151202749141,34.149484536082475,62.7491408934708,28.80584192439863,47.28309143583496,False,False,England
711231,Gorka Guruzeta,8315,Athletic Club,ESP-La Liga,0.7,14.5,5.0,0.0,0.7,1.3,0.08,0.4,1.9,1.0,0.26,0.3,1.1,0.0,0.7,6.57,0.0,16.0,3.2,0.6,0.5,1385,21,Attacker,0.3214285714285714,0.3333333333333333,0.0482758620689655,0.2631578947368421,0.34375,0.125,50.65141983519936,31.090996009311606,63.833231718582574,49.42610760078336,47.270384621790384,True,False,Spain
564847,Viktor Tsigankov,7732,Girona,ESP-La Liga,1.2,27.4,2.0,0.0,1.0,1.9,0.12,0.2,0.6,2.0,0.26,0.8,0.8,0.1,0.1,7.1,0.0,23.0,1.5,1.5,0.8,1401,18,Attacker,0.793103448275862,0.3478260869565218,0.0437956204379562,1.3333333333333337,0.5333333333333333,0.1333333333333333,41.85421516461589,66.56863152643831,33.69189483797066,56.28792077744523,47.239312502394064,True,False,Ukraine
