player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_creation_rate,xg_per_shot,ball_carrying,box_arrival,creative_link,counter_press,composite_score,has_primary_season,is_manual_add,nationality
1473580,Aleksandar Pavlovic,9823,Bayern München,GER-Bundesliga,4.7,96.7,2.0,0.0,1.1,1.9,0.15,0.12,1.2,1.0,0.16,0.8,0.3,0.5,0.2,7.23,0.0,16.0,0.6,1.9,0.2,1108,18,Midfielder,0.6923076923076923,0.2962962962962963,0.0486039296794208,0.1666666666666666,0.1654601861427094,0.2,43.104085006532806,57.2231721462283,51.48824760685812,39.32389575500627,47.49051141142434,True,False,Germany
574645,Mikel Merino,9825,Arsenal,ENG-Premier League,0.6,24.2,4.0,0.0,1.7,1.5,0.13,0.27,1.9,3.0,0.36,0.9,0.7,0.2,0.7,6.97,0.0,12.0,1.9,2.3,0.5,999,21,Midfielder,0.6274509803921569,0.28125,0.024793388429752,0.2631578947368421,0.4958677685950413,0.1421052631578947,24.51278064421513,91.71588772898168,41.35719142468603,65.76950510625817,47.33382398394741,True,False,Spain
244811,Davide Zappacosta,8524,Atalanta,ITA-Serie A,1.0,33.7,0.0,0.0,1.5,2.5,0.14,0.06,0.4,2.0,0.05,0.8,0.3,0.1,0.3,7.01,0.0,25.0,1.2,0.7,0.8,1657,22,Midfielder,0.7894736842105263,0.5333333333333333,0.029673590504451,2.0,0.7418397626112759,0.05,53.16915480094926,38.43872490200784,64.57687551662535,34.94453777031171,47.324418612128994,True,False,Italy
1359911,Miguel Román,9910,Celta de Vigo,ESP-La Liga,3.2,45.1,4.0,0.0,1.6,1.2,0.1,0.08,1.7,0.0,0.09,0.9,0.1,0.5,0.3,6.86,0.0,14.0,0.7,2.2,0.2,1040,16,Midfielder,0.6458333333333334,0.2903225806451613,0.0709534368070953,0.1176470588235294,0.3104212860310421,0.1142857142857143,43.35648148148148,51.99652777777778,47.24537037037037,47.91666666666666,47.29300709202239,True,False,Spain
771294,Ismaila Sarr,9826,Crystal Palace,ENG-Premier League,0.3,14.2,3.0,0.0,1.4,0.6,0.04,0.41,0.6,1.0,0.33,0.5,0.7,0.1,0.5,6.94,0.0,14.0,1.8,0.7,0.5,1370,16,Midfielder,0.6666666666666667,0.4166666666666667,0.0211267605633802,0.8333333333333334,0.9859154929577464,0.2277777777777777,34.38142448604112,95.23639775484628,49.50693944484441,30.00126656534144,47.28161883743199,True,False,Senegal
872396,Pathé Ciss,8370,Rayo Vallecano,ESP-La Liga,3.7,53.0,0.0,0.0,2.9,0.3,0.02,0.13,1.3,0.0,0.08,1.4,0.5,0.6,0.1,6.83,0.0,7.0,0.9,2.5,0.3,1130,16,Midfielder,0.75,0.358974358974359,0.0698113207547169,0.2307692307692307,0.1320754716981132,0.1444444444444444,51.18046389622163,66.23634275924593,26.923579446977573,55.61110944457776,47.268395756593726,True,False,Senegal
859282,Daniel Munoz,9826,Crystal Palace,ENG-Premier League,0.9,23.9,5.0,0.0,3.5,3.3,0.19,0.11,1.2,2.0,0.17,1.1,0.5,0.1,0.3,7.26,0.0,18.0,1.0,2.3,0.1,1587,18,Midfielder,0.7391304347826088,0.3235294117647059,0.0376569037656903,0.0833333333333333,0.7531380753138076,0.11,21.00256146174973,70.03938851558542,63.02066667999893,66.91782157427406,47.09733929997412,True,False,Colombia
845994,Hans Nicolussi Caviglia,7881,Venezia,ITA-Serie A,2.6,34.6,4.0,0.0,1.7,2.3,0.07,0.08,1.6,2.0,0.13,0.9,0.6,0.4,0.4,6.87,0.0,29.0,1.7,1.5,0.5,2870,35,Midfielder,0.6,0.375,0.0751445086705202,0.3125,0.838150289017341,0.0470588235294117,48.488120950323975,44.19546436285097,54.33585313174947,40.67494600431966,47.06218115812363,False,False,Italy
556029,Marius Wolf,8406,FC Augsburg,GER-Bundesliga,1.5,24.7,2.0,0.0,1.9,4.5,0.19,0.03,0.8,3.0,0.04,1.0,0.1,0.2,0.4,6.9,0.0,45.0,0.5,1.1,0.8,2164,32,Midfielder,0.7241379310344827,0.4761904761904761,0.0607287449392712,1.0,1.8218623481781373,0.06,58.06695464362851,22.71598272138229,75.50755939524838,46.92224622030238,46.99319406149057,False,False,Germany
956659,Himad Abdelli,8592,Marseille,FRA-Ligue 1,0.0,50.4,0.0,0.0,0.0,0.7,0.07,0.19,1.6,0.0,0.0,0.0,0.5,0.0,0.6,7.05,0.0,9.0,1.3,0.0,0.0,993,15,Midfielder,0.0,0.0,0.0,0.0,0.1785714285714285,0.1461538461538461,40.74957336746393,73.28602878436392,46.22027737780977,33.52873436791724,46.836430150768535,True,False,Algeria
